citation,author,book
" Tout homme qui raille peut avoir de l'esprit ; il veut même en avoir plus que celui qu'il plaisante. La preuve en est que, si ce dernier répond, il est déconcerté. ",Montesquieu,
" Quand les peuples cessent d'estimer, ils cessent d'obéir. ",Antoine Rivarol,
" Il faut concevoir l'État contemporain comme une communauté humaine qui, dans les limites d'un territoire déterminé […], revendique avec succès pour son propre compte le monopole de la violence physique légitime. ",Max Weber,    Le Savant et le politique                                
" L'étonnement : voilà une affection qui est tout à fait d'un philosophe. En effet, la philosophie n'a pas d'autre origine. ",Platon,
 N'essaie pas d'être utile. Essaie d'être toi : cela suffit et cela fait toute la différence. ,Paulo Coelho,"    Le Manuscrit retrouvé, Ed. Flammarion                                "
 Le sel de l'existence est essentiellement dans le poivre qu'on y met. ,Alphonse Allais,
 La vie d'un homme n'est qu'une lutte pour l'existence avec la certitude d'être vaincu. ,Arthur Schopenhauer,
 L'autre est indispensable à mon existence. ,Jean-Paul Sartre,
 L'expérience : c'est là le fondement de toutes nos connaissances. ,John Locke,
 L'expérience est de loin la meilleure preuve. ,Francis Bacon,
" Malheur à l'homme qui, même dans l'amitié la plus intime, laisse découvrir son faible et sa prise. ",Nicolas Chamfort,    Maximes et Pensées                                
" Une femme n'est pas un instrument grossier que le premier rustre venu peut faire vibrer, c'est une lyre délicate qu'un souffle divin doit animer avant de lui demander l'hymne de l'amour. ",George Sand,
 Il faut avoir diablement aimé les femmes pour les détester. ,Paul Léautaud,
" Chez certaines femmes un doute est déjà un tourment, une scène est presque une rupture, une offense est à peu près irréparable. ",Henri-Frédéric Amiel,
" La pudeur leur va si bien quand elles en ont, si bien quand elles n'en ont plus, que je ne conçois guère de femmes qui ne désirent pas en avoir. ",Paul Morand,    Fermé la nuit                                
 Dieu n'a créé les femmes que pour apprivoiser les hommes. ,Voltaire,    L'Ingénu                                
" En Angleterre, rien n'est fait pour les femmes, même pas les hommes. ",Oscar Wilde,
" Libre, c'est le mot que l'on emploie pour les hommes. Des femmes en rupture de mariage ou de liaison, on dit qu'elles sont seules. ",Françoise Giroud,
" Je veux bien être embêté toute ma vie par les femmes, mais pas par la même. ",Alfred Capus,
" Gare à la flatterie, ma fille : trop de sucre gâte les dents. ",Mme de Sévigné,    Lettres                                
" La plus haute passion de l'homme, c'est la foi. ",Søren Kierkegaard,    Crainte et tremblement                                
" Une petite flamme de folie, si on savait comme la vie s'en éclaire ! ",Henry de Montherlant,
 Les vieux fous sont plus fous que les jeunes. ,La Rochefoucauld,    Maximes                                
 Le sentiment de nos forces les augmente. ,Vauvenargues,    Réflexions et Maximes                                
" Si vous ne sentez pas que la chose donnée par vous vous manque, vous n'avez rien donné. On ne donne que ce dont on se prive. ",Victor Hugo,    Tas de pierres                                
 Il est plus doux de donner que de recevoir. ,Épicure,
" Le vrai génie sans cœur est un non-sens. Car ni intelligence élevée, ni imagination, ni toutes deux ensemble ne font le génie.Amour ! Amour ! Amour ! Voilà l'âme du génie. ",Wolfgang Amadeus Mozart,
" Le génie n'est qu'un prêt : il faut le mériter par de grandes souffrances, par des épreuves modestement, fermement traversées. ",Jean-Paul Sartre,"    Les Mots, éd. Gallimard                                "
 On ne va pas chercher une épaulette sur le champ de bataille quand on peut l'avoir dans une antichambre. ,Napoléon Bonaparte,
" Sans le gouvernement, on ne rirait plus en France. ",Nicolas Chamfort,
" Le meilleur moyen de renverser un gouvernement, c'est d'en faire partie. ",Talleyrand,
" L'existence d'un marché libre n'élimine évidemment pas le besoin de gouvernement. Au contraire, le gouvernement est essentiel, à la fois comme forum pour déterminer les « règles du jeu » et comme arbitre pour interpréter et faire respecter les règles qui ont été adoptées. ",Milton Friedman,    Capitalisme et liberté                                
" Le gouvernement est stationnaire, l'espèce humaine est progressive. Il faut que la puissance du gouvernement contrarie le moins possible la marche de l'espèce humaine. ",Benjamin Constant,
" Il n'y a au monde que deux manières de s'élever : ou par sa propre industrie, ou par l'imbécillité des autres. ",Jean de La Bruyère,    Les Caractères                                
 La grandeur de l'Homme est grande en ce qu'il se connaît misérable. Un arbre ne se connaît pas misérable. ,Blaise Pascal,    Pensées                                
" Les hommes naissent tous en état de guerre, et la première loi naturelle est la guerre de tous contre tous. ",Montesquieu,    De l'esprit des lois                                
" La guerre, c'est la guerre des hommes, la paix, c'est la guerre des idées. ",Victor Hugo,
" Je ne sais pas comment sera la troisième guerre mondiale, mais je sais qu'il n'y aura plus beaucoup de monde pour voir la quatrième. ",Albert Einstein,
" Se sentir familier d'un lieu, c'est le début de la mort. ",Sylvain Tesson,"    Dans les forêts de Sibérie, Ed. Gallimard                                "
 La haine rend décidément encore plus bête que l'amour. C'est tout dire. ,Louis-Ferdinand Céline,
 Le hasard ne profite qu'aux esprits préparés. ,Louis Pasteur,
 L'histoire est une suite de mensonges sur lesquels on est d'accord. ,Napoléon Bonaparte,
 L'histoire ne repasse pas les plats. ,Louis-Ferdinand Céline,
" L'histoire est un roman qui a été, le roman est de l'histoire qui aurait pu être. ",Edmond et Jules de Goncourt,    Journal                                
" Si marcher sur deux jambes n'est pas naturel à l'homme, c'est quand même une invention qui lui fait honneur. ",Georg Christoph Lichtenberg,
" Un être qui s'habitue à tout, voilà, je pense, la meilleure définition qu'on puisse donner de l'homme. ",Fedor Dostoïevski,
" Un individu est un individu à cause des autres individus, autrement dit mon humanité est inextricablement liée à ce qu'est la vôtre. ",Nelson Mandela,    Un long chemin vers la liberté                                
 L'être humain est une lumière mais... la grâce lui fait peur. ,Nelson Mandela,
 Chaque homme porte la forme entière de l'humaine condition. ,Montaigne,    Essais                                
 Les hommes se distinguent par ce qu'ils montrent et se ressemblent par ce qu'ils cachent. ,Paul Valéry,
 Chaque homme doit inventer son chemin. ,Jean-Paul Sartre,
" Le fâcheux avec les hommes, c'est qu'ils vous déçoivent toujours, soit qu'on s'y fie, soit qu'on s'en méfie. ",Élie Fréron,
" Pour l'essentiel, l'homme est ce qu'il cache : un misérable petit tas de secrets. ",André Malraux,
" Parce que les gens libres, bien nés, bien éduqués, vivant en bonne société, ont naturellement un instinct, un aiguillon qu'ils appellent honneur qui les pousse toujours à agir vertueusement et les éloigne du vice. ",François Rabelais,    Gargantua                                
" Nous sommes passés d'une humanité primitive qui considérait qu'elle appartenait à la vie, à une humanité dite « évolué » qui considère que la vie lui appartient. Nous nous sommes érigés comme les propriétaires de la création. C'est la raison pour laquelle nous n'avons plus aucun respect pour rien. ",Pierre Rabhi,
" Une bibliothèque, c'est le carrefour de tous les rêves de l'humanité. ",Julien Green,
 L'humoriste est là pour désacraliser les choses en faisant des pirouettes autour de l'ordre établi. ,Jean Yanne,"    Je suis un être exquis, le cherche midi éditeur                                "
 Une idée qui n'est pas dangereuse ne vaut pas la peine d'être appelée idée. ,Elbert Green Hubbard,
" Nos idées se composent d'ombres et de clartés, d'obscurités et de lumières comme nos peintures. De sorte qu'on pourrait dire que nos idées les plus subtiles se forment par évaporation, opération qui n'a jamais lieu en certains esprits. ",Joseph Joubert,    Pensées                                
" En temps ordinaire, les idées simples rôdent comme des fantômes de rêve. Quand une idée simple prend corps, il y a une révolution. ",Charles Péguy,    Note conjointe sur M. Descartes                                
 Allez donc faire abandonner à l'homme de la rue une idée qu'il juge difficile à comprendre et qu'il croit avoir comprise. ,Henry de Montherlant,
 Une idée est fausse dès l'instant où l'on s'en contente. ,Alain,
" La bataille contre l'ignorance se gagne tous les jours, et elle finit par ouvrir sur des perspectives insoupçonnées. ",Dalaï Lama,
" En ce monde l'on n'est sûr de rien, puisque la lumière est une illusion, puisque le bruit est une illusion. ",Guy de Maupassant,    Le Horla                                
" L'imagination est la faculté qui donne du relief, de l'éclat, du mordant à la pensée : par elle, l'expression se concentre, se colore, et se trempe ; en individualisant ce qu'elle touche, elle le vivifie et le consacre. ",Henri-Frédéric Amiel,
" Il y a quelque chose de plus important que la logique, c'est l'imagination. ",Alfred Hitchcock,
 Il faut que l'imagination prenne trop pour que la pensée ait assez. ,Gaston Bachelard,    L'Air et les Songes                                
" Quatre sortes de personnes dans le monde : les amoureux, les ambitieux, les observateurs et les imbéciles. Les plus heureux sont les imbéciles. ",Hippolyte Taine,
" La pire des maladies actuelles n'est ni la lèpre ni la tuberculose, mais le sentiment d'être indésirable, mal aimé, abandonné de tous. Le pire des péchés est le manque d'amour et de générosité, la terrible indifférence envers son prochain... ",Mère Teresa,
 L'injustice est une mère qui n'est jamais stérile et qui produit des enfants dignes d'elle. ,Adolphe Thiers,
 Les hommes sont les êtres les plus faibles du monde parce qu'ils sont intelligents. L'intelligence est exactement l'art de perdre de vue. ,Jean Giono,
" Des fois, je me dis que la preuve qu'il y a des êtres intelligents ailleurs que sur Terre est qu'ils n'ont pas essayé de nous contacter. ",Bill Watterson,    Calvin et Hobbes                                
 Rien n'existe dans notre intelligence qui n'ait d'abord été dans nos sens. ,Démocrite,
 L'entendement ne connaît rien que par concepts ; il ne connaît jamais rien par simple intuition. ,Emmanuel Kant,
" L'esprit qui invente est toujours mécontent de ses progrès, parce qu'il voit au-delà. ",Jean Le Rond d'Alembert,
" La jalousie est une preuve de cœur, comme la goutte, de jambes. ",Paul-Jean Toulet,"    Monsieur du Paur, homme public                                "
 Sachons faire confiance à la jeunesse pour conserver à la vie sa valeur suprême. ,Simone Veil,
 Il vaut mieux gâcher sa jeunesse que de n'en rien faire du tout. ,Georges Courteline,
" Pour apprécier la joie a sa pleine mesure, il faut quelqu'un avec qui la partager. ",Mark Twain,
 Un grain de gaieté assaisonne tout. ,Baltasar Gracián,
 Soulager une vessie pleine est une des grandes joies humaines. ,Henry Miller,"    Printemps noir, Ed Gallimard                                "
" Selon que serez puissant ou misérable, Les jugements de cour vous feront blanc ou noir. ",Jean de La Fontaine,    Les Animaux malades de la peste                                
" On a donc raison de dire que c'est par la pratique de la justice et de la tempérance qu'on devient juste et tempérant. Faute de cette pratique, nul ne deviendra honnête homme. ",Aristote,"    Éthique à Nicomaque, IV-5                                "
" Une opinion qui serait celle du plus grand nombre n'a pas le droit de dominer. C'est un mot tyrannique qui doit être banni de notre législation ; car si vous l'y mettez dans un cas, vous pouvez l'y mettre dans tous : vous aurez donc un culte dominant, une philosophie dominante, des systèmes dominants. Rien ne doit dominer que la justice, il n'y a de dominant que le droit de chacun, tout le reste y est soumis. ",Comte de Mirabeau,    Discours à l'Assemblée constituante le 23 juillet 1789                                
" C'est la prose qui donne l'empire à une langue, parce qu'elle est tout usuelle : la poésie n'est qu'un objet de luxe. ",Antoine Rivarol,    Maximes et pensées                                
 Pleure : les larmes sont les pétales du cœur. ,Paul Éluard,
" Qu'est ce qu'un livre si nous ne l'ouvrons pas ? Un simple cube de papier et de cuir avec des feuilles ; mais si nous le lisons, il se passe quelque chose d'étrange, je crois qu'il change à chaque fois. ",Jorge Luis Borges,
" Lire, c'est toujours interpréter. ",Henry Miller,
 La lecture d'un bon gros roman est à mains égards comparable à une longue liaison apaisante. ,Stephen King,
 Lire c'est voyager. Voyager c'est lire. ,Victor Hugo,
" Quand la vérité n'est pas libre, La liberté n'est pas vraie. ",Jacques Prévert,
" La société n'aime pas la liberté car elle n'engendre pas l'ordre, la cohésion sociale, la communauté utile mais plutôt l'éclatement des activités, l'individualisation et l'atomisation sociale. La liberté fait peur, angoisse : elle inquiète l'individu, qui se retrouve face à lui-même, dans le doute, devant la possibilité de choisir, donc d'expérimenter le poids de la responsabilité. ",Michel Onfray,"    Antimanuel de philosophie, éd. Bréal                                "
" Des moments libres. Toute vie bien réglée a les siens, et qui ne sait pas les provoquer ne sait pas vivre. ",Marguerite Yourcenar,
" Si tu veux être heureux et libre, laisse les autres te mépriser. ",Sénèque,
" La liberté est la négation du principe de raison suffisante, qui veut que tout ce qui existe ait une raison. ",Arthur Schopenhauer,
" Être libre, c'est être maître de soi-même. ",Matthieu Ricard,
 La liberté commence où l'ignorance finit. ,Victor Hugo,
" La morale n'a pas d'autre source, d'autre stimulant, d'autre cause, d'autre objet que la liberté. Elle n'est elle-même rien que liberté. Toutes les restrictions qu'on a imposées à cette dernière dans le but de protéger la morale ont donc toujours tourné au détriment de celle-ci. ",Mikhaïl Bakounine,    Catéchisme révolutionnaire                                
 Les hommes se sont donné des chefs pour défendre leur liberté ! ,Jean-Jacques Rousseau,
" La liberté d'écrire et de parler impunément marque ou l’extrême bonté du prince, ou le profond esclavage du peuple ; on ne permet de dire qu'à celui qui ne peut rien. ",Denis Diderot,
" Être libre, c'est se faire ce captif volontaire de l'action pour la délivrance des autres. ",Abbé Pierre,
" On entend par « chef-d'oeuvre », en matière littéraire, un ensemble de vers ou de lignes dont on ne conçoit pas qu'un seul mot puisse être remplacé par un autre. ",Georges Courteline,
" La littérature, c'est du chagrin dominé par la grammaire. ",Jean d'Ormesson,
 Le roman est une machine inventée par l'homme pour l'appréhension du réel dans sa complexité. ,Louis Aragon,
 La littérature n'est pas une fin en soi. Un livre doit provoquer la discussion sinon il est inutile. ,Éric-Emmanuel Schmitt,    La Part de l'autre                                
" Dans tous mes livres je me mets nu et en même temps je me travestis par des mots, des choix, des attitudes, par la féerie. Je m'arrange pour ne pas être trop endommagé. ",Jean Genet,
 Le roman doit détruire les certitudes. ,Milan Kundera,
" Tout bon livre doit savoir provoquer l'attente : lire, c'est attendre la suite ! ",Frédéric Beigbeder,
 Il faut toujours regarder les livres par dessus l'épaule de l'auteur. ,Paul Valéry,    Tel quel                                
" Un livre est le produit d'un autre moi que celui que nous manifestons dans nos habitudes, dans la société, dans nos vices. ",Marcel Proust,
" Un beau livre, c'est celui qui sème à foison les points d'interrogation. ",Jean Cocteau,
" La nature ne fait ni serviteurs, ni maîtres, je ne veux ni donner ni recevoir de lois. ",Denis Diderot,
" La transgression réfléchie de la loi devient nécessaire quand les différentes formes de mobilisation, d'interpellation du pouvoir ont échoué. ",José Bové,Philosophie Magazine - n°51 juillet-août 2011                                
" Le mal que fait un homme vit après lui ; souvent, ses bonnes actions vont dans la terre avec ses os. ",William Shakespeare,    Jules César                                
 Je me porte bien par haine de la maladie. ,Elsa Triolet,"    Lettre à Lili, février 1939                                "
 Le malheur a cela de bon qu'il nous apprend à connaître nos vrais amis. ,Honoré de Balzac,
" Dans le mariage d'amour, on veut une réussite absolue ; réussite érotique, passionnelle, professionnelle, affective, familiale. Chacun des partenaires demande à l'autre des choses exorbitantes, la perfection en tout. Finalement, nous nous persécutons les uns les autres par le biais d'un idéal inhumain. ",Pascal Bruckner,"    La séduction est un mystère insondable, Coopération, nº 53, 28/12/2009                                "
" Les mariages usent l'amour, le fatiguent, le tirent vers le sérieux et le lourd qui est le lieux du monde. ",Christian Bobin,
" Quand on a vingt ans de plus qu'une femme, c'est elle qui vous épouse. ",Sacha Guitry,
 La femme mariée est un esclave qu'il faut savoir mettre sur un trône. ,Honoré de Balzac,
 La morphine a été inventée pour que les médecins puissent dormir tranquilles. ,Sacha Guitry,
 Méditer c’est regarder profondément dans le cœur des choses. ,Thich Nhat Hanh,
" La mémoire de la plupart des hommes est un cimetière abandonné, où gisent sans honneurs des morts qu'ils ont cessé de chérir. ",Marguerite Yourcenar,
" La mémoire est aussi paresseuse qu'hypocrite, elle ne retient que les meilleurs moments et les pires souvenirs, les temps forts, jamais la mesure du quotidien, qu'elle efface. ",Marc Levy,"    Le premier jour, Ed. Pocket                                "
" Je ne mens jamais, sauf quand je lis le journal à haute voix, évidemment... ",Jean Yanne,
" Parfois, le mensonge explique mieux que la vérité ce qui se passe dans l'âme. ",Maxime Gorki,    Les Vagabonds                                
" J'ai eu, d'abord, en voyant la plupart des grands, une crainte puérile. Dès que j'ai eu fait connaissance, j'ai passé, presque sans milieu, jusqu'au mépris. ",Montesquieu,
" La mer, c'est le cœur du monde. Vouloir visiter les océans, c'est aller se frotter aux couleurs de l'absolu. ",Olivier de Kersauson,"    Ocean's Songs, Ed. le cherche midi                                "
 La modestie est au mérite ce que les ombres sont aux figures dans un tableau : elle lui donne de la force et du relief. ,Jean de La Bruyère,    Les Caractères                                
 À quoi bon vivre si nul jamais n'enchante le monde ? ,Michel Serres,
" Avec le monde a commencé une guerre qui doit finir avec le monde, et pas avant : celle de l'homme contre la nature, de l'esprit contre la matière, de la liberté contre la fatalité. L'histoire n'est pas autre chose que le récit de cette interminable lutte. ",Jules Michelet,    Introduction à l'histoire universelle                                
" Ce qui est incompréhensible, c'est que le monde soit compréhensible. ",Albert Einstein,
 La raison pure est pratique par elle seule et donne à l'homme une loi universelle que nous nommons la loi morale. ,Emmanuel Kant,
" Je ne crois pas du tout savoir quelque chose après ma mort, ça je n'y compte pas ! Je sais qu'il y a des millions de gens qui croient que la mort est le début d'une autre vie, ce n'est pas mon cas. Pour moi la mort est la fin de la vie, point. Mais s'il y a autre chose, tant mieux ! ",Jean-Claude Carrière,
" Si j'ai l'occasion, j'aimerais mieux mourir de mon vivant ! ",Coluche,
" Une vie heureuse, bien remplie, dont on ne regrette rien conduit à la sérénité : le sentiment d'accomplissement vaut tous les sédatifs ; idem si l'on a eu une existence sinistre, déplorable et nulle : on n'a dès lors aucune raison de regretter la fin d'une triste partie. Dans les deux cas, et personne n'échappe à cette alternative – vie réussie ou ratée … -, la mort n'est pas une catastrophe. ",Michel Onfray,"    Contre-histoire de la philosophie I. Les sagesses antiques, éd. Grasset                                "
" Partir, c'est mourir un peu, mais mourir, c'est partir beaucoup. ",Alphonse Allais,
" Ainsi, la mort n'est jamais ce qui donne un sens à la vie ; c'est, au contraire, ce qui lui ôte toute signification. ",Honoré de Balzac,
" Ainsi qu'une journée bien remplie donne un doux dormir, ainsi une vie bien employée donne un doux mourir. ",Léonard de Vinci,    Carnets                                
 Qui sait mourir n'a plus de maître. ,Sully Prudhomme,    Poésies                                
" Si un homme n'a pas découvert ce pourquoi il serait prêt à mourir, il n'est pas fait pour vivre. ",Martin Luther King,
" La mort est un monstre qui chasse du grand théâtre un spectateur attentif, avant qu'une pièce qui l'intéresse infiniment finisse. ",Giacomo Casanova,    Histoire de ma vie                                
" Quand on voit la vie telle que Dieu l'a faite, il n'y a qu'à le remercier d'avoir fait la mort. ",Alexandre Dumas fils,    Denise                                
" Les mots ont un pouvoir dévastateur : un mot vous sauve, un mot vous tue. Le jour où j'ai pris conscience de ça, je me suis dit, il y a quelque chose à creuser là-dedans et il y a une vraie nitroglycérine dans le langage, et si je peux la manipuler avec les précautions qui s'imposent, je peux à mon gré, tuer ou sauver,  c'est extraordinaire ! ",Amélie Nothomb,"    Les masterclasses, France Culture                                "
 Prudence devant les formules. Elles sont parfois comme le tonnerre : elles frappent mais n'éclairent pas. ,Albert Camus,    Carnets III                                
 Le mot donne à la pensée son existence la plus haute et la plus noble. ,Baruch Spinoza,
 Les mots qui ont un son noble contiennent toujours de belles images. ,Marcel Pagnol,    La Gloire de mon père                                
 La véritable musique est le silence et toutes les notes ne font qu'encadrer ce silence. ,Miles Davis,
" La musique nous aide à construire nos vies spirituelles, nous apaise, nous console, nous redonne de la joie, nous rend allègre, nous fait danser, chanter. ",Éric-Emmanuel Schmitt,    Interview sur Evene.fr - Oct. 2005                                
" L'amour et la musique peuvent tout, tout hormis n'être pas. ",Hélène Grimaud,    Variations sauvages                                
" Un mélomane est un monsieur qui, lorsqu'il entend Ornella Muti chanter dans sa salle de bains, s'approche du trou de la serrure... pour y coller l'oreille ! ",Woody Allen,
" Je n'écris pas la musique, je l'invente. ",Igor Stravinsky,
" Nous naissons, pour ainsi dire, en deux fois : l'une pour exister, et l'autre pour vivre ; l'une pour l'espèce et l'autre pour le sexe. ",Jean-Jacques Rousseau,    Émile ou de l'éducation                                
" La nature n'est pas seulement matière, elle est aussi esprit. ",Carl Gustav Jung,
 C'est une triste chose de songer que la nature parle et que le genre humain n'écoute pas. ,Victor Hugo,
" En permettant l'homme, la nature a commis beaucoup plus qu'une erreur de calcul ; un attentat contre elle-même. ",Emil Cioran,
" Avant, j'avalais n'importe quoi. Maintenant je ne mange que de la nourriture. ",Groucho Marx,
 Un objectif correctement défini est à moitié atteint. ,Zig Ziglar,
" Quand on se propose un but, le temps, au lieu d'augmenter, diminue. ",Antoine Rivarol,
 L'oisiveté est comme la rouille ; elle use plus que le travail. ,Benjamin Franklin,
 Une opinion n'est pas l'opinion du nombre. ,Antoine de Saint-Exupéry,
 Le mensonge et la crédulité s'accouplent et engendrent l'opinion. ,Paul Valéry,
" Trois idéaux ont éclairé ma route et m'ont souvent redonné le courage d'affronter la vie avec optimisme : la bonté, la beauté et la vérité. ",Albert Einstein,
" C'est très mal vu d'être optimiste. Les gens adorent annoncer les nouvelles, surtout les mauvaises. ",Jean Carmet,    Je suis la badaud de moi-même - Ed. Plon                                
" On est orgueilleux par nature, modeste par nécessité. ",Pierre Reverdy,
" La paix n'est pas l'absence de la guerre, mais une vertu qui naît de la force de l'âme. ",Baruch Spinoza,
" Paix et liberté marchent main dans la main. Mais aujourd'hui, il arrive trop souvent que la paix ne règne pas dans nos villes, parce que la liberté y est incomplète. ",John Fitzgerald Kennedy,
 Le pardon n'est peut-être que la forme la plus raffinée de la vengeance. ,Paul-Jean Toulet,
" Élève tes mots, pas ta voix. C'est la pluie qui fait grandir les fleurs, pas le tonnerre. ",Djalâl Al-Dîn Rûmi,
 Parler beaucoup de soi est peut-être un moyen de se dissimuler. ,Friedrich Nietzsche,    Par de-là le bien et le mal                                
" Il y a des gens qui parlent, qui parlent, qui parlent - jusqu'à ce qu'ils aient enfin trouvé quelque chose à dire. ",Sacha Guitry,
" C'est une grande misère que de n'avoir pas assez d'esprit pour bien parler, ni assez de jugement pour se taire. ",Jean de La Bruyère,    Les Caractères                                
" Notre passé n'a que le poids que nous lui laissons ; la réflexion, le travail nous permettent de l'alléger. ",Éric-Emmanuel Schmitt,    La Part de l'autre                                
 On ne met pas son passé dans sa poche ; il faut avoir une maison pour l'y ranger. ,Jean-Paul Sartre,
 La logique des passions renverse l'ordre traditionnel du raisonnement et place la conclusion avant les prémisses. ,Albert Camus,"    L'Homme révolté, éd. Gallimard                                "
" Ce qui distingue le fou du sage, c'est que le premier est guidé par les passions, le second par la raison. ",Érasme,
" La passion fait souvent un fou du plus habile homme, et rend souvent les plus sots habiles. ",La Rochefoucauld,    Maximes                                
 Les grandes souffrances qui peuvent délabrer à jamais une vie affective ne se rencontrent que chez ceux qui connaissent la passion. ,Boris Cyrulnik,
 Vous pouvez tout avoir. Vous ne pouvez juste pas tout avoir en même temps. ,Oprah Winfrey,
 C'est de l'enfer des pauvres qu'est fait le paradis des riches. ,Victor Hugo,
" J'ai toujours eu la certitude qu'éliminer la pauvreté de la planète était davantage une affaire de volonté que de moyens financiers. [...] La charité, de son côté, ne résout rien. Elle ne fait que perpétuer la pauvreté en retirant aux pauvres toute initiative. ",Muhammad Yunus,    Vers un monde sans pauvreté                                
" Souvent, il me semble que la nuit est encore plus richement colorée que le jour. ",Vincent Van Gogh,
 Le peintre lutte et rivalise avec la nature. ,Léonard de Vinci,
" S'il n'y avait qu'une seule vérité, on ne pourrait pas faire cent toiles sur le même thème. ",Pablo Picasso,
" La couleur est mon obsession quotidienne, ma joie et mon tourment. ",Claude Monet,
 Les arrière-pensées que nous prêtons aux autres ne sont jamais que nos propres pensées. ,Gilbert Cesbron,
 Nous ne parvenons jamais à nos pensées. Elles viennent à nous. ,Martin Heidegger,"    L'Expérience de la pensée, éd. Seghers                                "
" L'instinct, c'est l'âme à quatre pattes ; la pensée, c'est l'esprit debout. ",Victor Hugo,
" La pensée est le labeur de l'intelligence, la rêverie en est la volupté. ",Victor Hugo,    Les Misérables                                
" Certaines rudesses de forme sont garanties de l'intégrité de la pensée. Il n'est qu'une façon de dire, et pourquoi serait-elle plaisante ! ",Jean Rostand,
 Il est préférable de faire peu de choses mais à la perfection que beaucoup de choses de façon médiocre. ,Robin Sharma,
" Confronté à la roche, le ruisseau l'emporte toujours, non par la force mais par la persévérance. ",Confucius,
 La vérité de chacun est ce qui le grandit. ,André Maurois,
 Il est besoin que le peuple ignore beaucoup de choses vraies et en croie beaucoup de fausses. ,Montaigne,    Essais                                
 On domine plus facilement les peuples en excitant leurs passions qu'en s'occupant de leurs intérêts. ,Gustave Le Bon,
" Faut pas avoir peur des mots, seulement des gens. ",Frédéric Dard,
 Celui qui contrôle la peur des gens devient le maître de leurs âmes. ,Nicolas Machiavel,    Le Prince                                
" Ce n'est pas la philosophie qui donne des raisons de vivre, c'est la vie qui donne des raisons de penser. ",Raphaël Enthoven,"    Le Nouvel Observateur, 14/06/2007                                "
" Philosopher, c'est penser sa vie et vivre sa pensée. ",André Comte-Sponville,
 Le but de la philosophie est de penser par soi-même. ,Emmanuel Kant,
 Je pense que la philosophie est le plus beau moyen de régler ses comptes avec la mort. ,Umberto Eco,Philosophie Magazine - n°65 décembre 2012/janvier 2013                                
" Une grande philosophie n'est pas celle qui prononce des jugements définitifs, qui installe une vérité définitive. C'est celle qui introduit une inquiétude, qui ouvre un ébranlement. ",Charles Péguy,    Note conjointe sur M. Bergson                                
" Par la photographies, l'infini sauvage devient un infini domestique. ",Michel Tournier,
" La photographie, c'est la synthèse d'une situation. L'instant où tout s'assemble. L'idéal insaisissable. ",Elliott Erwitt,    Photographies 1946 - 1988                                
 Que de bonheurs possibles dont on sacrifie ainsi la réalisation à l'impatience d'un plaisir immédiat. ,Marcel Proust,
" Le plaisir n'est pas un mal en soi, mais certains plaisirs apportent plus de peine que de plaisir. ",Épicure,
" La moitié de la gloire de Baudelaire vient, non de ses grands vers, mais de ce qu'il n'est jamais content. ",Baudelaire,"    Dictionnaire égoïste de la littérature française, éd. Grasset                                "
 Le poète se consacre et se consume à définir et à construire un langage dans le langage. ,Paul Valéry,
 La poésie est de toutes les choses humaines la plus voisine des choses divines. ,Victor Hugo,
" La Poésie, c'est l'Enthousiasme cristallisé. ",Alfred de Vigny,
" Nommer un objet, c'est supprimer les trois quarts de la jouissance du poème qui est faite du bonheur de deviner peu à peu : le suggérer, voilà le rêve. ",Stéphane Mallarmé,
 Les plus beaux vers sont ceux qui s'exhalent comme des sons ou des parfums. ,Joseph Joubert,    Pensées                                
" Être de gauche c'est d'abord penser le monde, puis son pays, puis ses proches, puis soi ; être de droite c'est l'inverse. ",Gilles Deleuze,
" Un politicien ne peut faire carrière sans mémoire, car il doit se souvenir de toutes les promesses qu'il lui faut oublier. ",Frédéric Dard,
" Tout n'est pas politique, mais la politique s'intéresse à tout. ",Nicolas Machiavel,
" J'ai appris à redouter chez les hommes politiques, même chez les grands, un empirisme qui les soumet à l'événement. ",François Mauriac,
 L'objet principal de la politique est de créer l'amitié entre les membres de la cité. ,Aristote,
 Il vaut mieux se faire aimer que se faire craindre. ,Pythagore,
" Le vrai politique, c'est celui qui sait garder son idéal tout en perdant ses illusions. ",John Fitzgerald Kennedy,
 Toute classe qui aspire à la domination doit conquérir d'abord le pouvoir politique pour représenter à son tour son intérêt propre comme étant l'intérêt général. ,Karl Marx,
 Le pouvoir est l'aphrodisiaque suprême. ,Henry Kissinger,"    The Guardian, 28 novembre 1976                                "
" Il n'y a que l'instant présent, jusqu'à ce que celui-ci coïncide avec celui de notre mort. L'amour est encore la meilleure façon d'employer cet instant - une manière de séjourner auprès de ce que la vie a de plus faible et de plus doux. ",Christian Bobin,"    La plus que vive, éd Gallimard                                "
 J'apprends tous les jours davantage qu'on n'est jamais sûr du lendemain. ,Henri Lacordaire,
" Le présent n'est pas un passé en puissance, il est le moment du choix et de l'action. ",Simone de Beauvoir,"    Pour une morale de l'ambiguïté, éd. Gallimard                                "
" C'est joli le progrès ! Demain, quand on offrira un livre à un gamin, il le tournera dans tous les sens pour savoir où il faut mettre les piles. ",Coluche,
 Il vaut mieux débattre d'une question sans la régler que la régler sans en avoir débattu. ,Joseph Joubert,    Pensées                                
