citation,author,book
" Qu'est-ce en effet qui relie le temporel et l'éternité, qu'est-ce d'autre que l'amour, qui donc est avant toutes choses et demeure quand toutes sont passées ? ",Søren Kierkegaard,
 L'amour est un fleuve où les eaux de deux rivières se mêlent sans se confondre. ,Jacques de Bourbon Busset,
" Croyez seulement en un amour qui vous est gardé comme un bien d'héritage. Soyez certain qu'il y a dans cet amour une force, une bénédiction qui peuvent vous accompagner aussi loin que vous alliez. ",Rainer Maria Rilke,
 Aimer sans doute est le possible le plus lointain. ,Georges Bataille,    L'Érotisme                                
" L'homme veut être le premier amour de la femme, alors que la femme veut être le dernier amour de l'homme. ",Oscar Wilde,
" Le premier symptôme de l'amour vrai chez un jeune homme, c'est la timidité, chez une jeune fille, c'est la hardiesse. ",Victor Hugo,
 Tout ce que je sais de l'espoir que je mets dans l'amour c'est qu'il n'appartient qu'à une femme de lui donner une réalité. ,René Magritte,
" L'amour est l'histoire de la vie des femmes, c'est un épisode dans la vie des hommes. ",Mme de Staël,
" Une existence sans amour, quoique l'on possède par ailleurs, est une vie vide, sans but. ",Leo Buscaglia,
" Nous avons de l'amour pour une ou deux femmes, de l'amitié pour deux ou trois amis, de la haine pour un seul ennemi, de la pitié pour quelques pauvres ; et le reste des hommes nous est indifférent. ",Jules Renard,    Journal                                
 L'harmonie la plus douce est le son de la voix de celle que l'on aime. ,Jean de La Bruyère,    Les Caractères                                
 Qu'est-ce donc que l'amour ! Une maladie à laquelle l'homme est sujet à tout âge. ,Giacomo Casanova,    Histoire de ma vie                                
" L'amour est comme les maladies épidémiques. Plus on les craint, plus on y est exposé. ",Nicolas Chamfort,    Maximes et Pensées                                
" Amour est le grand point, qu'importe la maîtresse ? ",Alfred de Musset,    La Coupe et les Lèvres                                
 L'amour-propre nous augmente ou nous diminue les bonnes qualités de nos amis à proportion de la satisfaction que nous avons d'eux ; et nous jugeons de leur mérite par la manière dont ils vivent avec nous. ,La Rochefoucauld,    Maximes                                
 Un homme cruel avec les animaux ne peut être un homme bon. ,Mahatma Gandhi,
 L'habit ne fait pas le moine. ,William Shakespeare,"    Henri VIII, III, 1                                "
" L'épargne est une magnifique réalité, spécialement quand nos parents l'ont pratiquée. ",Mark Twain,
" L'argent est l'argent, quelles que soient les mains où il se trouve. C’est la seule puissance qu’on ne discute jamais. ",Alexandre Dumas,
 On a de tout avec de l'argent hormis des mœurs et des citoyens. ,Jean-Jacques Rousseau,    Discours sur les sciences et les arts                                
" Pour que le commerce puisse se bien faire, il faut que l'argent ait un prix, mais que ce prix soit peu considérable. S'il est trop haut, le négociant qui voit qu'il lui en coûterait plus en intérêts qu'il ne pourrait gagner dans son commerce, n'entreprend rien. Si l'argent n'a point de prix, personne n'en prête, et le négociant n'entreprend rien non plus. ",Montesquieu,    De l'esprit des lois                                
 Voulez-vous compter vos amis ? Empruntez-leur de l'argent. ,Alexandre Dumas fils,
" Tous les arts contribuent au plus grand de tous les arts, l'art de vivre. ",Bertolt Brecht,
" L'art, c'est ce qui résiste : il résiste à la mort, à la servitude, à l'infamie, à la honte. ",Gilles Deleuze,
 L'art est à la beauté ce que l'honneur est à l'honnêteté. ,Winston Churchill,
" Le seul défaut des œuvres de réelle valeur, c'est qu'elles en suscitent ordinairement beaucoup d'autres mauvaises ou simplement médiocres. ",Georg Christoph Lichtenberg,    Aphorismes                                
" L'art doit supprimer la violence, et seul il peut le faire. Sa mission est de faire régner le royaume de Dieu, c'est-à-dire de l'Amour. ",Romain Rolland,    La Vie de Tolstoï                                
" L'art varie simplement dans ses sources d'inspiration et dans ses modes d'exécution. Il peut même varier chez tel ou tel individu, en fonction de sa curiosité et de son sentiment de liberté. ",Man Ray,
 Les chefs-d'œuvre ne sont jamais que des tentatives heureuses. ,George Sand,    François le Champi                                
" Gagner de l'argent est un art, travailler est un art et faire de bonnes affaires est le plus bel art qui soit. ",Andy Warhol,
 Apprends les règles comme un professionnel afin de pouvoir les briser comme un artiste. ,Pablo Picasso,
 L'artiste ne compte que sur l'imprévu. ,Jules Renard,    Journal                                
" Messieurs, il faut de l'audace, encore de l'audace et toujours de l'audace et la France est sauvée. ",Danton,    Discours à l'Assemblée législative le 2 septembre 1792                                
 Le monde va être jugé par les enfants.  ,Georges Bernanos,
" Nous sommes agités de multiples façons par les causes extérieures et, tels les flots agités par des vents contraires, nous sommes ballottés en tous sens, ignorants de notre avenir et de notre destin. ",Baruch Spinoza,    Éthique                                
 L'homme sera juge de l'avenir par le passé. ,Sophocle,
 C'est de l'altitude qu'il faut prendre et non de l'avance. ,Gustave Thibon,
" Plaignons les tourterelles, qui ne se baisent qu'au printemps ! ",Ninon de Lenclos,
 Est beau ce qui procède d'une nécessité intérieure de l'âme. Est beau ce qui est beau intérieurement. ,Vassily Kandinsky,"    Du spirituel dans l’art, éd. Denoël                                "
 Nous ne vivons que pour découvrir la beauté. Tout le reste n'est qu'attente. ,Khalil Gibran,
 C'est la conscience humaine du beau qui différencie le beau du laid. ,Lao-Tseu,    Tao-te-King                                
 Rien de tout ce qui existe n'a jamais exercé sur moi un si fort pouvoir qu'une belle figure de femme. ,Giacomo Casanova,    Histoire de ma vie                                
 Être bête présente cet avantage que soi-même on ne s'en aperçoit pas. ,Tristan Bernard,
" Pour vivre heureux, il faut admettre que l'être humain est fondamentalement bête. ",Claude Chabrol,
" Le paradis, à n'en pas douter, n'est qu'une immense bibliothèque. ",Gaston Bachelard,
" Peu à peu, j'ai découvert que la ligne de partage entre le bien et le mal ne sépare ni les États ni les classes ni les partis, mais qu'elle traverse le cœur de chaque homme et de toute l'humanité. ",Alexandre Soljenitsyne,"    L'Archipel du Goulag, éd. Fayard                                "
" On cherche le bien sans le trouver, et l'on trouve le mal sans le chercher. ",Démocrite,
" Si tout le monde était heureux, personne ne le serait plus. ",Claude Aveline,
" Que l'homme est né pour le bonheur, certes toute la nature l'enseigne. C'est l'effort vers la volupté qui fait germer la plante, emplit de miel la ruche et le cœur de l'homme de bonté. ",André Gide,    Les Nouvelles Nourritures                                
" Il est donc facile de voir clairement combien notre bonheur dépend de ce que nous sommes, de notre individualité, tandis qu'on ne tient compte le plus souvent que de ce que nous avons ou de ce que nous représentons. ",Arthur Schopenhauer,    Aphorismes sur la sagesse dans la vie                                
 Le bonheur c'est quand le temps s'arrête. ,Gilbert Cesbron,
" Le bonheur ça existe, ça compte ; pourquoi le refuser ? En l'acceptant on n'aggrave pas le malheur des autres et même ça aide à lutter pour eux. Je trouve regrettable cette honte qu'on éprouve à se sentir heureux. ",Albert Camus,
" Avoir l'air d'être heureux n'est pas le bonheur, l'homme véritablement heureux l'est au fond du cœur. ",Publilius Syrus,
" Il est bien vrai que nous devons penser au bonheur d'autrui ; mais on ne dit pas assez que ce que nous pouvons faire de mieux pour ceux qui nous aiment, c'est encore d'être heureux. ",Alain,
" L'essentiel pour le bonheur de la vie, c'est ce que l'on a en soi-même. ",Arthur Schopenhauer,
" La raison pour laquelle tant de gens trouvent qu'il est si difficile d'être heureux c'est qu'ils imaginent toujours le passé meilleur qu'il ne l'était, le présent pire qu'il n'est vraiment et le futur plus compliqué qu'il ne sera. ",Marcel Pagnol,
" Le bonheur n'est pas un but qu'on poursuit âprement, c'est une fleur que l'on cueille sur la route du devoir. ",John Stuart Mill,
" [...] être aimé ne donne pas le bonheur. Mais aimer, c'est ça le bonheur. ",Hermann Hesse,"    Le dernier été de Klingsor, éd. Calmann-Lévy                                "
 Le bonheur est comme l'été : il n'irradie pas. Rien à attendre de son souvenir pour les jours où nous aurons froid. ,Henry de Montherlant,    Le Démon du bien                                
" Le bonheur est un état de l'âme, par conséquent il ne peut être durable : c'est un nom abstrait composé de quelques idées de plaisir. ",Voltaire,
 Les gens ne connaissent pas leur bonheur... mais celui des autres ne leur échappe jamais. ,Pierre Daninos,
" Personne n’est propriétaire du bonheur, on a parfois la chance d’avoir un bail, et d'en être locataire. Il faut être très régulier sur le paiement de ses loyers, on se fait exproprier très vite. ",Marc Levy,    Et si c'était vrai...                                
" Il n'est pas nécessaire de vivre, mais il l'est de vivre heureux. ",Jules Renard,    Journal                                
" Il faudrait essayer d'être heureux, ne serait-ce que pour donner l'exemple. ",Jacques Prévert,
" Les gens ne comptent que leur malheur ; leur bonheur, ils ne le comptent jamais. S'ils le comptaient comme il faut, ils comprendraient que chacun a sa part en réserve. ",Fedor Dostoïevski,    Les Carnets du sous-sol                                
 Le bonheur et la satisfaction humaine doivent en dernier ressort provenir de l'intérieur de soi. C'est une erreur que d'attendre une satisfaction ultime à partir de l'argent ou de la technologie. ,Dalaï Lama,
 La source la plus directe du bonheur est une humeur enjouée. Cette qualité trouve tout de suite sa récompense en elle-même. ,Arthur Schopenhauer,
" Le bonheur n'est pas le fruit de la paix, le bonheur, c'est la paix même. ",Alain,
" La vraie supériorité de l'homme, c'est la bonté. ",Ludwig van Beethoven,    Carnets intimes                                
" La force de cervelle fait les entêtés, et le force d'esprit les caractères fermes. ",Joseph Joubert,    Pensées                                
 La célébrité c'est l'avantage d'être connu de ceux qui ne vous connaissent pas. ,Nicolas Chamfort,    Maximes et Pensées                                
 La fortune sourit aux audacieux. ,Virgile,    L'Enéide                                
" En ne changeant rien, rien ne change. ",Anthony Robbins,
" Le changement n'est pas l'exception, c'est la règle. Vous n'avez pas besoin de le chercher. Son éclat éblouit et il vous aveugle presque. ",Swami Prajnanpad,
 Et c'est une folie à nulle autre seconde que vouloir se mêler de corriger le monde. ,Molière,    Le Misanthrope                                
" Le peuple se trompe : on va bien plus facilement par les bouts, là où l'extrémité sert de borne d'arrêt et de guide, que par la voie du milieu large et ouverte, mais bien moins noblement et de façon moins estimable. ",Montaigne,    Essais                                
" Choisir, s'est se priver du reste. ",André Gide,
 Le cinéma c'est de l'art de faire faire de jolies choses à de jolies femmes. ,François Truffaut,
 Qui nierait que le cinéma sonore nous a fait découvrir le silence ? Le silence est la plus belle conquête du parlant. ,Henri Jeanson,
 Il existe infiniment plus d'hommes qui acceptent la civilisation en hypocrites que d'hommes vraiment civilisés. ,Sigmund Freud,    Le malaise de la civilisation                                
 Les cœurs sont trop précieux pour qu'on les brise. ,Robert Baden-Powell,
 On ne voit bien qu'avec le cœur. L'essentiel est invisible pour les yeux. ,Antoine de Saint-Exupéry,    Le Petit Prince                                
 La véritable école du Commandement est la culture générale. ,Charles de Gaulle,    Vers l'armée de métier                                
 Une des pires bassesses est de considérer la compassion comme une forme de bassesse. ,Edgar Morin,Fil Twitter d'Edgar Morin 
 Les hommes passent la moitié de leur temps à se forger des chaînes et l'autre moitié à les porter. ,Octave Mirbeau,
 J'ai plus de plaisir à comprendre les hommes qu'à les juger. ,Stefan Zweig,
 La confiance est une des possibilités divines de l'homme. ,Henry de Montherlant,
" Dans la vie, il ne faut compter que sur soi... et encore pas beaucoup ! ",Tristan Bernard,
" Connaître, c'est comprendre toute chose au mieux de nos intérêts. ",Friedrich Nietzsche,    La Volonté de puissance                                
" Ce n'est pas seulement notre ignorance, c'est notre connaissance qui nous aveugle. ",Edgar Morin,
" Le point de départ d'une pensée vraie est dans la connaissance de soi. Si l'on ne se comprend pas soi-même, l'on n'a aucune base pour penser ; ce que l'on pense n'est pas vrai. ",Jiddu Krishnamurti,    La Première et Dernière Liberté                                
" Le sage possède la connaissance de toutes les choses, dans la mesure où cela est possible. ",Aristote,
" En soi réside le monde entier et si tu sais regarder et apprendre, la porte est là et la clé est dans ta main. ",Jiddu Krishnamurti,
 On ne se découvre qu'en se tournant vers ce que l'on n'est pas. ,Paul Auster,
 Tout ce qui nous irrite chez les autres nous conduit à une meilleure connaissance de nous-mêmes. ,Carl Gustav Jung,
" Il y a trois choses extrêmement dures : l'acier, le diamant et se connaître soi-même. ",Benjamin Franklin,
 L'homme n'a rien de mieux à faire qu'essayer d'être en parfait accord avec lui-même. ,Sigmund Freud,    Cinq leçons sur la psychanalyse                                
" La conscience est bien plus que l'écharde, elle est le poignard dans la chair. ",Emil Cioran,
 Le plus grand théâtre de la vertu est la conscience. ,Cicéron,
" La conscience, c'est le chaos des chimères, des convoitises et des tentations, la fournaise des rêves, l'antre des idées dont on a honte ; c'est le pandémonium des sophismes, c'est le champ de bataille des passions. ",Victor Hugo,    Les Misérables                                
 Que dit ta conscience ? Tu dois devenir l'homme que tu es. ,Friedrich Nietzsche,    Le Gai Savoir                                
" Contentons-nous de faire réfléchir, c'est le plus sûr moyen de convaincre. ",Georges Braque,
 Vivre en couple : je ne vois pas pourquoi je sacrifierais l'admiration de milliers de femmes au sens critique d'une seule. ,Jean Yanne,"    Je suis un être exquis, le cherche midi éditeur                                "
" La bravoure procède du sang, le courage vient de la pensée. ",Napoléon Bonaparte,    Maximes et pensées                                
